year,origin_location_code,asylum_location_code,age_range,population
2002,AFG,ETH,12-17,5
2002,AFG,ETH,18-59,0
2002,AFG,ETH,5-11,0
2002,AFG,ETH,60+,0
2002,AFG,ETH,all,10
2002,AFG,FIN,0-4,0
2002,AFG,FIN,12-17,0
2002,AFG,FIN,18-59,0
2002,AFG,FIN,5-11,0
2002,AFG,FIN,60+,0
2002,AFG,FIN,all,932
2002,AFG,FRA,0-4,0
2002,AFG,FRA,12-17,0
2002,AFG,FRA,18-59,0
2002,AFG,FRA,5-11,0
2002,AFG,FRA,60+,0
2002,AFG,FRA,all,2512
2002,AFG,GBR,0-4,0
2002,AFG,GBR,12-17,0
2002,AFG,GBR,18-59,0
2002,AFG,GBR,5-11,0
2002,AFG,GBR,60+,0
2002,AFG,GBR,all,20305
2002,AFG,GEO,0-4,0
2002,AFG,GEO,12-17,0
2002,AFG,GEO,18-59,0
2002,AFG,GEO,5-11,5
2002,AFG,GEO,60+,0
2002,AFG,GEO,all,10
2002,AFG,GRC,0-4,5
2002,AFG,GRC,12-17,35
2002,AFG,GRC,18-59,318
2002,AFG,GRC,5-11,28
2002,AFG,GRC,60+,0
2002,AFG,GRC,all,898
2002,AFG,HKG,0-4,0
2002,AFG,HKG,12-17,0
2002,AFG,HKG,18-59,5
2002,AFG,HKG,5-11,0
2002,AFG,HKG,60+,0
2002,AFG,HKG,all,10
2002,AFG,HRV,0-4,0
2002,AFG,HRV,12-17,0
2002,AFG,HRV,18-59,5
2002,AFG,HRV,5-11,0
2002,AFG,HRV,60+,0
2002,AFG,HRV,all,10
2002,AFG,HUN,0-4,0
2002,AFG,HUN,12-17,0
2002,AFG,HUN,18-59,0
2002,AFG,HUN,5-11,0
2002,AFG,HUN,60+,0
2002,AFG,HUN,all,1571
2002,AFG,IDN,0-4,13
2002,AFG,IDN,12-17,31
2002,AFG,IDN,18-59,110
2002,AFG,IDN,5-11,41
2002,AFG,IDN,60+,0
2002,AFG,IDN,all,390
2002,AFG,IND,0-4,419
2002,AFG,IND,12-17,1901
2002,AFG,IND,18-59,6162
2002,AFG,IND,5-11,2218
2002,AFG,IND,60+,671
2002,AFG,IND,all,22872
2002,AFG,IRL,0-4,0
2002,AFG,IRL,12-17,0
2002,AFG,IRL,18-59,0
2002,AFG,IRL,5-11,0
2002,AFG,IRL,60+,0
2002,AFG,IRL,all,41
2002,AFG,IRN,0-4,0
2002,AFG,IRN,12-17,0
2002,AFG,IRN,18-59,0
2002,AFG,IRN,5-11,0
2002,AFG,IRN,60+,0
2002,AFG,IRN,all,1104909
2002,AFG,ITA,0-4,0
2002,AFG,ITA,12-17,0
2002,AFG,ITA,18-59,0
2002,AFG,ITA,5-11,0
2002,AFG,ITA,60+,0
2002,AFG,ITA,all,183
2002,AFG,JOR,0-4,0
2002,AFG,JOR,12-17,6
2002,AFG,JOR,18-59,0
2002,AFG,JOR,5-11,0
2002,AFG,JOR,60+,0
2002,AFG,JOR,all,12
2002,AFG,JPN,0-4,0
2002,AFG,JPN,12-17,0
2002,AFG,JPN,18-59,0
2002,AFG,JPN,5-11,0
2002,AFG,JPN,60+,0
2002,AFG,JPN,all,222
2002,AFG,KAZ,0-4,0
2002,AFG,KAZ,12-17,0
2002,AFG,KAZ,18-59,0
2002,AFG,KAZ,5-11,0
2002,AFG,KAZ,60+,0
2002,AFG,KAZ,all,4500
2002,AFG,KGZ,0-4,159
2002,AFG,KGZ,12-17,84
2002,AFG,KGZ,18-59,505
2002,AFG,KGZ,5-11,98
2002,AFG,KGZ,60+,25
2002,AFG,KGZ,all,1846
2002,AFG,KHM,0-4,0
2002,AFG,KHM,12-17,0
2002,AFG,KHM,18-59,15
2002,AFG,KHM,5-11,0
2002,AFG,KHM,60+,0
2002,AFG,KHM,all,30
2002,AFG,KWT,0-4,0
2002,AFG,KWT,12-17,26
2002,AFG,KWT,18-59,73
2002,AFG,KWT,5-11,14
2002,AFG,KWT,60+,0
2002,AFG,KWT,all,226
2002,AFG,LBN,0-4,0
2002,AFG,LBN,12-17,5
2002,AFG,LBN,18-59,29
2002,AFG,LBN,5-11,0
2002,AFG,LBN,60+,13
2002,AFG,LBN,all,94
2002,AFG,LKA,0-4,6
2002,AFG,LKA,12-17,0
2002,AFG,LKA,18-59,0
2002,AFG,LKA,5-11,7
2002,AFG,LKA,60+,0
2002,AFG,LKA,all,26
2002,AFG,LTU,0-4,0
2002,AFG,LTU,12-17,11
2002,AFG,LTU,18-59,34
2002,AFG,LTU,5-11,31
2002,AFG,LTU,60+,0
2002,AFG,LTU,all,199
2002,AFG,MAR,0-4,0
2002,AFG,MAR,12-17,0
2002,AFG,MAR,18-59,0
2002,AFG,MAR,5-11,0
2002,AFG,MAR,60+,0
2002,AFG,MAR,all,8
2002,AFG,MDA,0-4,0
