year,origin_location_code,asylum_location_code,population
2009,AFG,MLT,8
2009,AFG,MYS,1632
2009,AFG,NLD,10987
2009,AFG,NOR,7666
2009,AFG,NZL,174
2009,AFG,PAK,3263734
2009,AFG,PAN,15
2009,AFG,POL,77
2009,AFG,PRT,7
2009,AFG,ROU,129
2009,AFG,RUS,2725
2009,AFG,SRB,45
2009,AFG,SVK,101
2009,AFG,SVN,12
2009,AFG,SWE,4698
2009,AFG,SYR,4290
2009,AFG,TJK,4293
2009,AFG,TKM,87
2009,AFG,TUR,8808
2009,AFG,UKR,5322
2009,AFG,USA,1771
2009,AFG,UZB,1638
2009,AFG,ZAF,18
2009,IRN,AFG,117
2009,IRQ,AFG,18
2009,PAK,AFG,15
2010,AFG,AFG,2514750
2010,AFG,ARE,63
2010,AFG,AUS,5586
2010,AFG,AUT,10055
2010,AFG,AZE,2154
2010,AFG,BEL,1002
2010,AFG,BGR,2508
2010,AFG,BIH,33
2010,AFG,BLR,1416
2010,AFG,BRA,66
2010,AFG,CAN,4503
2010,AFG,CHE,7804
2010,AFG,CHL,12
2010,AFG,CHN,21
2010,AFG,COL,15
2010,AFG,CYM,15
2010,AFG,CYP,119
2010,AFG,CZE,238
2010,AFG,DEU,113357
2010,AFG,DNK,5441
2010,AFG,ECU,414
2010,AFG,ESP,93
2010,AFG,EST,36
2010,AFG,FIN,1042
2010,AFG,FJI,15
2010,AFG,FRA,3580
2010,AFG,GBR,23406
2010,AFG,GEO,15
2010,AFG,GRC,4648
2010,AFG,HKG,36
2010,AFG,HRV,63
2010,AFG,HUN,1821
2010,AFG,IDN,4398
2010,AFG,IND,27951
2010,AFG,IRL,338
2010,AFG,IRN,1032494
2010,AFG,ISL,6
2010,AFG,ITA,4273
2010,AFG,JOR,153
2010,AFG,JPN,108
2010,AFG,KAZ,615
2010,AFG,KGZ,1941
2010,AFG,KOR,69
2010,AFG,KWT,1984
2010,AFG,LBN,45
2010,AFG,LTU,122
2010,AFG,LUX,16
2010,AFG,LVA,123
2010,AFG,MAR,24
2010,AFG,MDA,63
2010,AFG,MKD,87
2010,AFG,MLT,8
2010,AFG,MYS,1518
2010,AFG,NLD,9751
2010,AFG,NOR,7645
2010,AFG,NZL,184
2010,AFG,PAK,5705364
2010,AFG,PAN,15
2010,AFG,POL,91
2010,AFG,PRT,6
2010,AFG,ROU,103
2010,AFG,RUS,2550
2010,AFG,SRB,300
2010,AFG,SVK,249
2010,AFG,SVN,15
2010,AFG,SWE,5858
2010,AFG,SYR,6410
2010,AFG,TJK,4911
2010,AFG,TKM,90
2010,AFG,TUR,10341
2010,AFG,UKR,5384
2010,AFG,USA,1410
2010,AFG,UZB,912
2010,AFG,VEN,15
2010,AFG,ZAF,18
2010,IRN,AFG,143
2010,IRQ,AFG,18
2010,PAK,AFG,6439
2011,AFG,AFG,2853501
2011,AFG,ARE,18
2011,AFG,AUS,4950
2011,AFG,AUT,13212
2011,AFG,AZE,2153
2011,AFG,BEL,3335
2011,AFG,BGR,2598
2011,AFG,BLR,1380
2011,AFG,BRA,72
2011,AFG,CAN,7863
2011,AFG,CHE,9777
2011,AFG,CHL,12
2011,AFG,CHN,21
2011,AFG,CIV,54
2011,AFG,COL,21
2011,AFG,CYP,122
2011,AFG,CZE,224
2011,AFG,DEU,125894
2011,AFG,DNK,3268
2011,AFG,DZA,15
2011,AFG,ECU,357
2011,AFG,EGY,15
2011,AFG,ESP,62
2011,AFG,EST,39
2011,AFG,FIN,1228
2011,AFG,FJI,15
2011,AFG,FRA,4240
2011,AFG,GBR,15826
2011,AFG,GRC,208
2011,AFG,HKG,36
2011,AFG,HRV,201
2011,AFG,HUN,1697
2011,AFG,IDN,6375
2011,AFG,IND,29340
2011,AFG,IRL,379
