YEAR;MONTH;DAY;FATALITIES;CENTROID_LATITUDE;CENTROID_LONGITUDE
2017;5;20;[10, 58, 21, 0, 15, 51, 72, 29, 192, 12, 5, 206, 18, 0, 7, 31, 0, 0, 119, 0, 0, 41, 13, 13, 34, 54, 47];['36,966', '35,2572', '35,79', '36,5288', '32,4966', '36,2086', '33,1547', '34,2063', '31,3969', '34,239', '34,5253', '31,0757', '34,9093', '33,3768', '35,0052', '36,8038', '34,8092', '33,9823', '34,3726', '30,8409', '35,4698', '33,6167', '32,5116', '36,6997', '32,8013', '34,2374', '32,2774'];['73,3417', '63,5813', '69,109', '66,9116', '62,41', '64,7689', '67,7536', '64,5817', '64,0428', '62,0679', '69,3433', '65,6926', '69,7471', '69,8967', '71,0407', '68,6663', '70,2703', '69,1949', '70,3664', '62,4753', '71,1173', '69,2837', '68,6546', '69,6309', '66,0076', '68,16', '67,0193']
2017;5;27;[0, 3, 8, 0, 4, 27, 72, 41, 1, 0, 28, 0, 0, 23, 3, 66, 0, 16, 0, 3, 7, 58, 5, 12];['36,966', '35,2572', '36,5288', '32,4966', '36,2086', '33,1547', '31,3969', '34,239', '36,7115', '34,5253', '31,0757', '34,9093', '33,3768', '36,8038', '33,9823', '34,3726', '30,8409', '33,6167', '32,5116', '35,7152', '36,6997', '32,8013', '34,2374', '32,2774'];['73,3417', '63,5813', '66,9116', '62,41', '64,7689', '67,7536', '64,0428', '62,0679', '65,9384', '69,3433', '65,6926', '69,7471', '69,8967', '68,6663', '69,1949', '70,3664', '62,4753', '69,2837', '68,6546', '66,088', '69,6309', '66,0076', '68,16', '67,0193']
2017;6;3;[22, 0, 0, 11, 23, 39, 35, 0, 19, 0, 5, 0, 10, 0, 8, 90, 0, 0, 5, 1, 0, 26, 19, 0];['36,966', '35,2572', '36,5288', '32,4966', '36,2086', '33,1547', '31,3969', '34,5253', '31,0757', '34,9093', '33,3768', '35,0052', '36,8038', '34,8092', '33,9823', '34,3726', '30,8409', '33,6167', '32,5116', '35,0024', '36,6997', '32,8013', '34,2374', '32,2774'];['73,3417', '63,5813', '66,9116', '62,41', '64,7689', '67,7536', '64,0428', '69,3433', '65,6926', '69,7471', '69,8967', '71,0407', '68,6663', '70,2703', '69,1949', '70,3664', '62,4753', '69,2837', '68,6546', '68,758', '69,6309', '66,0076', '68,16', '67,0193']
2017;6;10;[1, 0, 3, 0, 12, 22, 53, 10, 3, 58, 13, 0, 2, 10, 0, 14, 46, 0, 0, 17, 3, 2, 0, 3, 13];['36,966', '35,2572', '35,79', '32,4966', '36,2086', '33,1547', '31,3969', '34,239', '34,5253', '31,0757', '34,9093', '33,3768', '35,0052', '36,8038', '34,8092', '33,9823', '34,3726', '30,8409', '35,4698', '33,6167', '32,5116', '35,9925', '32,8013', '34,2374', '32,2774'];['73,3417', '63,5813', '69,109', '62,41', '64,7689', '67,7536', '64,0428', '62,0679', '69,3433', '65,6926', '69,7471', '69,8967', '71,0407', '68,6663', '70,2703', '69,1949', '70,3664', '62,4753', '71,1173', '69,2837', '68,6546', '67,7275', '66,0076', '68,16', '67,0193']
2017;6;17;[4, 10, 3, 1, 0, 11, 24, 7, 0, 21, 8, 71, 0, 0, 11, 0, 11, 39, 0, 2, 58, 0, 41, 18, 10, 0, 42, 13, 0, 0];['36,966', '35,2572', '35,79', '36,5288', '34,6954', '32,4966', '36,2086', '33,1547', '34,2063', '31,3969', '34,239', '36,7115', '34,5253', '31,0757', '34,9093', '33,3768', '35,0052', '36,8038', '34,8092', '33,9823', '34,3726', '30,8409', '33,6167', '32,5116', '35,0024', '35,7152', '36,6997', '32,8013', '34,2374', '32,2774'];['73,3417', '63,5813', '69,109', '66,9116', '67,3383', '62,41', '64,7689', '67,7536', '64,5817', '64,0428', '62,0679', '65,9384', '69,3433', '65,6926', '69,7471', '69,8967', '71,0407', '68,6663', '70,2703', '69,1949', '70,3664', '62,4753', '69,2837', '68,6546', '68,758', '66,088', '69,6309', '66,0076', '68,16', '67,0193']
2017;6;24;[6, 0, 22, 4, 26, 0, 4, 29, 18, 0, 3, 3, 6, 3, 1, 79, 14, 8, 2, 25, 53, 2];['36,966', '35,2572', '32,4966', '36,2086', '33,1547', '34,2063', '31,3969', '34,239', '36,7115', '34,5253', '31,0757', '33,3768', '35,0052', '34,8092', '33,9823', '34,3726', '35,4698', '33,6167', '32,5116', '32,8013', '34,2374', '32,2774'];['73,3417', '63,5813', '62,41', '64,7689', '67,7536', '64,5817', '64,0428', '62,0679', '65,9384', '69,3433', '65,6926', '69,8967', '71,0407', '70,2703', '69,1949', '70,3664', '71,1173', '69,2837', '68,6546', '66,0076', '68,16', '67,0193']
2017;7;1;[7, 35, 25, 35, 18, 1, 84, 5, 11, 0, 67, 6, 1, 114, 0, 3, 52, 3, 0, 35, 2, 0, 1, 32, 0, 4];['35,2572', '36,5288', '32,4966', '36,2086', '33,1547', '34,2063', '31,3969', '34,239', '36,7115', '34,5253', '31,0757', '34,9093', '33,3768', '36,8038', '34,8092', '33,9823', '34,3726', '30,8409', '35,4698', '33,6167', '32,5116', '35,4892', '36,6997', '32,8013', '34,2374', '32,2774'];['63,5813', '66,9116', '62,41', '64,7689', '67,7536', '64,5817', '64,0428', '62,0679', '65,9384', '69,3433', '65,6926', '69,7471', '69,8967', '68,6663', '70,2703', '69,1949', '70,3664', '62,4753', '71,1173', '69,2837', '68,6546', '69,8872', '69,6309', '66,0076', '68,16', '67,0193']
2017;7;8;[7, 2, 62, 0, 13, 13, 17, 0, 29, 3, 13, 38, 6, 7, 13, 21, 20, 11, 62, 2, 7, 0, 0, 7, 64, 12, 25];['35,2572', '35,79', '36,5288', '33,6473', '32,4966', '36,2086', '33,1547', '34,2063', '31,3969', '34,239', '34,5253', '31,0757', '34,9093', '33,3768', '35,0052', '36,8038', '34,8092', '33,9823', '34,3726', '33,6167', '32,5116', '35,0024', '35,7152', '36,6997', '32,8013', '34,2374', '32,2774'];['63,5813', '69,109', '66,9116', '66,3457', '62,41', '64,7689', '67,7536', '64,5817', '64,0428', '62,0679', '69,3433', '65,6926', '69,7471', '69,8967', '71,0407', '68,6663', '70,2703', '69,1949', '70,3664', '69,2837', '68,6546', '68,758', '66,088', '69,6309', '66,0076', '68,16', '67,0193']
2017;7;15;[70, 0, 32, 4, 6, 57, 53, 44, 68, 39, 8, 0, 56, 5, 12, 0, 19, 9, 8, 70, 9, 6, 2, 7, 0, 28, 0, 31];['36,966', '35,2572', '35,79', '36,5288', '32,4966', '36,2086', '33,1547', '34,2063', '31,3969', '34,239', '36,7115', '34,5253', '31,0757', '34,9093', '33,3768', '35,0052', '36,8038', '34,8092', '33,9823', '34,3726', '35,4698', '33,6167', '32,5116', '35,0024', '35,9925', '32,8013', '34,2374', '32,2774'];['73,3417', '63,5813', '69,109', '66,9116', '62,41', '64,7689', '67,7536', '64,5817', '64,0428', '62,0679', '65,9384', '69,3433', '65,6926', '69,7471', '69,8967', '71,0407', '68,6663', '70,2703', '69,1949', '70,3664', '71,1173', '69,2837', '68,6546', '68,758', '67,7275', '66,0076', '68,16', '67,0193']
2017;7;22;[71, 13, 26, 0, 29, 134, 45, 26, 40, 13, 19, 79, 29, 0, 0, 5, 0, 15, 104, 19, 30, 50, 25, 0, 6, 1, 25, 18, 13];['36,966', '35,2572', '35,79', '36,5288', '32,4966', '36,2086', '33,1547', '34,2063', '31,3969', '34,239', '34,5253', '31,0757', '34,9093', '33,3768', '35,0052', '36,8038', '34,8092', '33,9823', '34,3726', '30,8409', '35,4698', '33,6167', '32,5116', '35,0024', '35,9925', '36,6997', '32,8013', '34,2374', '32,2774'];['73,3417', '63,5813', '69,109', '66,9116', '62,41', '64,7689', '67,7536', '64,5817', '64,0428', '62,0679', '69,3433', '65,6926', '69,7471', '69,8967', '71,0407', '68,6663', '70,2703', '69,1949', '70,3664', '62,4753', '71,1173', '69,2837', '68,6546', '68,758', '67,7275', '69,6309', '66,0076', '68,16', '67,0193']
