asylum_location_code,gender,age_range,population,year
CZE,m,12-17,0,2020
CZE,m,18-59,0,2020
CZE,m,60+,0,2020
CZE,f,0-4,0,2020
CZE,f,5-11,0,2020
CZE,f,12-17,0,2020
CZE,f,18-59,0,2020
CZE,f,60+,0,2020
CZE,m,0-4,0,2020
CZE,m,5-11,0,2020
CZE,m,12-17,0,2020
CZE,m,18-59,0,2020
CZE,m,60+,0,2020
DEU,f,0-4,1237,2020
DEU,f,5-11,1443,2020
DEU,f,12-17,922,2020
DEU,f,18-59,4263,2020
DEU,f,60+,205,2020
DEU,m,0-4,1308,2020
DEU,m,5-11,1659,2020
DEU,m,12-17,1796,2020
DEU,m,18-59,20007,2020
DEU,m,60+,263,2020
DEU,f,0-4,5979,2020
DEU,f,5-11,10969,2020
DEU,f,12-17,7703,2020
DEU,f,18-59,33195,2020
DEU,f,60+,3833,2020
DEU,m,0-4,6325,2020
DEU,m,5-11,12021,2020
DEU,m,12-17,9587,2020
DEU,m,18-59,54962,2020
DEU,m,60+,3278,2020
DNK,f,0-4,0,2020
DNK,f,5-11,0,2020
DNK,f,12-17,0,2020
DNK,f,18-59,0,2020
DNK,f,60+,0,2020
DNK,m,0-4,0,2020
DNK,m,5-11,0,2020
DNK,m,12-17,0,2020
DNK,m,18-59,0,2020
DNK,m,60+,0,2020
DNK,f,0-4,0,2020
DNK,f,5-11,0,2020
DNK,f,12-17,0,2020
DNK,f,18-59,0,2020
DNK,f,60+,0,2020
DNK,m,0-4,0,2020
DNK,m,5-11,0,2020
DNK,m,12-17,0,2020
DNK,m,18-59,0,2020
DNK,m,60+,0,2020
DOM,f,0-4,0,2020
DOM,f,5-11,0,2020
DOM,f,12-17,0,2020
DOM,f,18-59,0,2020
DOM,f,60+,0,2020
DOM,m,0-4,0,2020
DOM,m,5-11,0,2020
DOM,m,12-17,0,2020
DOM,m,18-59,8,2020
DOM,m,60+,0,2020
ECU,f,0-4,0,2020
ECU,f,5-11,0,2020
ECU,f,12-17,0,2020
ECU,f,18-59,0,2020
ECU,f,60+,0,2020
ECU,m,0-4,0,2020
