year,origin_location_code,asylum_location_code,population_group,population
2004,AFG,PAK,ASY,7164
2004,AFG,PAK,REF,3210490
2004,AFG,POL,ASY,17
2004,AFG,POL,REF,90
2004,AFG,PRT,REF,5
2004,AFG,QAT,REF,120
2004,AFG,ROU,REF,316
2004,AFG,RUS,ASY,253
2004,AFG,RUS,OOC,100000
2004,AFG,RUS,REF,1488
2004,AFG,SAU,ASY,24
2004,AFG,SVK,ASY,354
2004,AFG,SVK,REF,122
2004,AFG,SWE,ASY,1172
2004,AFG,SWE,REF,3903
2004,AFG,SYR,ASY,162
2004,AFG,SYR,REF,1080
2004,AFG,THA,REF,15
2004,AFG,TJK,REF,1816
2004,AFG,TKM,REF,3090
2004,AFG,TUR,ASY,990
2004,AFG,TUR,REF,192
2004,AFG,UKR,ASY,343
2004,AFG,UKR,REF,3870
2004,AFG,USA,ASY,145
2004,AFG,USA,REF,9778
2004,AFG,UZB,ASY,1278
2004,AFG,UZB,REF,9850
2004,AFG,ZAF,ASY,22
2004,AFG,ZAF,REF,15
2004,AFG,ZWE,REF,66
2004,IRN,AFG,ASY,56
2004,IRN,AFG,REF,37
2004,IRQ,AFG,REF,5
2005,AFG,AUS,ASY,30
2005,AFG,AUS,REF,8082
2005,AFG,AUT,REF,2991
2005,AFG,AZE,ASY,50
2005,AFG,AZE,OOC,888
2005,AFG,AZE,REF,270
2005,AFG,BEL,ASY,106
2005,AFG,BEL,REF,381
2005,AFG,BGR,ASY,1160
2005,AFG,BGR,REF,1930
2005,AFG,BLR,ASY,87
2005,AFG,BLR,REF,1551
2005,AFG,BRA,REF,18
2005,AFG,CAN,ASY,672
2005,AFG,CAN,REF,15535
2005,AFG,CHE,ASY,188
2005,AFG,CHE,REF,3853
2005,AFG,CHL,REF,48
2005,AFG,CHN,REF,21
2005,AFG,CIV,ASY,30
2005,AFG,CIV,REF,21
2005,AFG,CUB,REF,27
2005,AFG,CYP,ASY,154
2005,AFG,CYP,REF,10
2005,AFG,CZE,ASY,5
2005,AFG,CZE,REF,241
